state_abbreviation,fips_code,state_name,Revenue,
AL,01,Alabama,3.8,
AK,02,Alaska,2,
AZ,04,Arizona,3.1,
AR,05,Arkansas,3.7,
CA,06,California,13.9,
CO,08,Colorado,3.8,
CT,09,Connecticut,1.9,
DE,10,Delaware,0.5,
FL,12,Florida,8.5,
GA,13,Georgia,5.2,
HI,15,Hawaii,0.6,
ID,16,Idaho,1.7,
IL,17,Illinois,9.3,
IN,18,Indiana,6.3,
IA,19,Iowa,6.3,
KS,20,Kansas,3.3,
KY,21,Kentucky,7,
LA,22,Louisiana,3.7,
ME,23,Maine,2.8,
MD,24,Maryland,3.1,
MA,25,Massachusetts,4.2,
MI,26,Michigan,5.2,
MN,27,Minnesota,5.4,
MS,28,Mississippi,6.5,
MO,29,Missouri,8,
MT,30,Montana,3.3,
NE,31,Nebraska,2.8,
NV,32,Nevada,1.4,
NH,33,New Hampshire,1.3,
NJ,34,New Jersey,5.1,
NM,35,New Mexico,2.2,
NY,36,New York,11.4,
NC,37,North Carolina,6.4,
ND,38,North Dakota,2.4,
OH,39,Ohio,8.1,
OK,40,Oklahoma,4.2,
OR,41,Oregon,2.5,
PA,42,Pennsylvania,10.2,
RI,44,Rhode Island,0.3,
SC,45,South Carolina,2.3,
SD,46,South Dakota,2,
TN,47,Tennessee,4.5,
TX,48,Texas,15.5,
UT,49,Utah,2,
VT,50,Vermont,2.8,
VA,51,Virginia,8.2,
WA,53,Washington,3.8,
WV,54,West Virginia,5.3,
WI,55,Wisconsin,4.1,
WY,56,Wyoming,1,
